Designator,Mid X,Mid Y,Layer,Rotation
C1,87.0000mm,-65.5000mm,Top,90
C2,85.6000mm,-65.5000mm,Top,90
C3,97.0000mm,-65.5000mm,Top,270
C4,98.4000mm,-65.5000mm,Top,270
C5,107.9000mm,-56.5000mm,Top,270
C6,101.1000mm,-61.8900mm,Top,0
C7,108.5000mm,-59.4000mm,Top,270
D1,113.5225mm,-68.0000mm,Bottom,180
D2,147.2500mm,-66.5000mm,Top,90
FB1,106.4375mm,-68.0000mm,Top,180
FB2,143.7500mm,-63.0000mm,Top,180
J1,144.0800mm,-68.0400mm,Bottom,90
J2,148.0787mm,-42.5000mm,Bottom,90
J3,148.0815mm,-60.3755mm,Bottom,90
J4,116.2900mm,-46.5000mm,Top,270
J5,116.2500mm,-64.3538mm,Top,270
J6,123.0000mm,-64.0000mm,Top,0
J7,123.0000mm,-48.5000mm,Top,180
J8,67.8800mm,-64.3373mm,Top,90
J10,130.2500mm,-59.8300mm,Top,180
R2,69.0000mm,-68.5000mm,Top,180
R3,69.0000mm,-67.2500mm,Top,0
R4,98.8500mm,-57.8700mm,Top,180
R5,98.8500mm,-56.5900mm,Top,0
R6,116.9900mm,-50.0100mm,Top,90
R7,98.8500mm,-59.1300mm,Top,180
U1,89.5000mm,-65.2500mm,Bottom,180
U2,103.5000mm,-58.5000mm,Top,0
